year,movieid,adj,noun
1982,54116,man-hating,mother
1985,14750,many,girl
1992,60145,many,girl
1995,9344,many,girl
1975,67298,many,woman
2013,207768,many,woman
1973,121342,married,woman
1974,50254,married,woman
1979,80286,married,woman
1989,37606,married,woman
1989,51108,married,woman
1990,37865,married,woman
1997,10155,married,woman
2015,258480,married,woman
2015,241251,married,woman
2017,257785,married,woman
1975,91845,martial,female
1973,110115,maternal,grandmother
1979,147168,maternal,grandmother
1970,27371,mature,woman
2010,38303,mean,girl
2015,272693,mean,girl
1986,13853,medicine,woman
1976,51857,melancholic,girl
1984,14132,meltran,female
1983,32689,member,female
2014,207933,mental,female
1998,1567,mentally-handicapped,daughter
1974,81672,mentally-ill,wife
1992,9096,mere,woman
2005,7873,mexican,girlfriend
2007,4351,mexican,woman
1972,29424,middle-aged,housewife
1971,42530,middle-aged,woman
1980,67737,middle-aged,woman
1982,10150,middle-aged,woman
1982,4269,middle-class,daughter
2008,19173,middle-class,girl
1993,43636,mild-mannered,wife
1970,116048,minor,girl
2020,524216,misguided,girl
2004,1577,missing,daughter
1972,85126,missing,girl
2001,2043,missing,girl
1973,70781,modern,woman
2010,38167,modern,woman
2012,121936,modern,woman
2019,588001,modern,woman
2007,9757,monstrous,woman
2003,17457,mortal,girl
1995,55580,most,woman
1980,4499,mousy,wife
1977,42603,moviegoers,female
2011,89008,much-young,daughter
1978,29530,murdered,girl
1991,9319,murdered,girl
1978,106682,murdered,wife
1971,31382,murderous,woman
2004,15775,musician,girlfriend
2009,23566,musketeer,female
2009,33997,mutilated,female
1975,19333,mysterious,daughter
2019,611914,mysterious,female
1970,64721,mysterious,girl
1971,16154,mysterious,girl
1980,31112,mysterious,girl
1985,13155,mysterious,girl
1985,15916,mysterious,girl
1989,41583,mysterious,girl
1995,10840,mysterious,girl
2001,9606,mysterious,girl
2009,25642,mysterious,girl
2010,45162,mysterious,girl
2010,46837,mysterious,girl
2015,314405,mysterious,girl
2016,369557,mysterious,girl
